video_path,error_flg_0,error_flg_1,error_flg_2,error_flg_3,error_flg_4
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc2f639bd4e43ccd10d8ab__BY__20__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc2f639bd4e43ccd10d8ab__BY__20__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc31fe934b2d6d5d9424cb__BY__24__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc31fe934b2d6d5d9424cb__BY__24__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc32f9b93d346ad121dda5__UA__21__FEMALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc32f9b93d346ad121dda5__UA__21__FEMALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc3cd237bb0b17026609ea__PL__41__FEMALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc3cd237bb0b17026609ea__PL__41__FEMALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc47955a0a42098c005de7__UA__19__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc47955a0a42098c005de7__UA__19__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc48cfa14d0d2b3b18d8ad__BY__20__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc48cfa14d0d2b3b18d8ad__BY__20__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc55be81e4921aeed16f2b__RU__50__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc55be81e4921aeed16f2b__RU__50__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc626a6ec5041ff2253285__UA__25__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc626a6ec5041ff2253285__UA__25__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc731648d7c01691522951__UA__35__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc731648d7c01691522951__UA__35__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc7612ae5e2f24f4bfc426__BY__26__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc7612ae5e2f24f4bfc426__BY__26__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc7889d420cb6519c4434a__BY__39__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc7889d420cb6519c4434a__BY__39__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc7e216ec5041ff226195f__UA__40__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc7e216ec5041ff226195f__UA__40__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc8cb4318d7656ffb6dc0e__MD__32__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dc8cb4318d7656ffb6dc0e__MD__32__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dca587f8d5c514ec57fc43__MD__42__FEMALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dca587f8d5c514ec57fc43__MD__42__FEMALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd07a6999f95075795c432__KZ__34__MALE__3.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd07a6999f95075795c432__KZ__34__MALE__4.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd2101df620d115595b7bb__RU__30__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd2101df620d115595b7bb__RU__30__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd2dc2c824a410678e22a3__UA__26__FEMALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd2dc2c824a410678e22a3__UA__26__FEMALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd31dab93d346ad1282200__BY__30__MALE__3.mov,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd31dab93d346ad1282200__BY__30__MALE__4.mov,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd47d09bcf7260bf4d5687__UA__32__nan__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd47d09bcf7260bf4d5687__UA__32__nan__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd47f181e4921aeed997ea__BY__26__MALE__3.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd47f181e4921aeed997ea__BY__26__MALE__4.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd47f181e4921aeed997ea__BY__26__MALE__7.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd47f181e4921aeed997ea__BY__26__MALE__8.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd49455df2c9537dc94fe3__BY__24__FEMALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd49455df2c9537dc94fe3__BY__24__FEMALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd4b2141bdc30a1d670253__UA__30__FEMALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd4b2141bdc30a1d670253__UA__30__FEMALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd4d97ccfa523988ff0012__KZ__22__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd4d97ccfa523988ff0012__KZ__22__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd4e46b93d346ad12a3fad__UA__33__FEMALE__3.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd4e46b93d346ad12a3fad__UA__33__FEMALE__4.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd5a30c248992044986607__UA__28__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd5a30c248992044986607__UA__28__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd5e4ce5bfb641a99bceeb__UA__25__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd5e4ce5bfb641a99bceeb__UA__25__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd5f24a14d0d2b3b211c83__KZ__59__FEMALE__3.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd5f24a14d0d2b3b211c83__KZ__59__FEMALE__4.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd6122c824a41067906dc7__BY__21__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd6122c824a41067906dc7__BY__21__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd6142337db401bfa01120__BY__70__FEMALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd6142337db401bfa01120__BY__70__FEMALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd634b5d1eb01ceb35e069__BY__24__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd634b5d1eb01ceb35e069__BY__24__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd656f6ec5041ff22e69b4__UA__37__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd656f6ec5041ff22e69b4__UA__37__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd6fd25d09892338b0e460__BY__23__FEMALE__3.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd6fd25d09892338b0e460__BY__23__FEMALE__4.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd73942d317a32308caf1b__KZ__19__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd73942d317a32308caf1b__KZ__19__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd7599a8047a51a80d4d3d__BY__24__MALE__1.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd7599a8047a51a80d4d3d__BY__24__MALE__2.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd7599a8047a51a80d4d3d__BY__24__MALE__4.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd802b0564ea22e8543767__UA__23__FEMALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd8f85999f9507579c8d6d__KZ__28__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd8f85999f9507579c8d6d__KZ__28__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd9f55028f1874ce261649__RU__57__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dd9f55028f1874ce261649__RU__57__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dda014a8bdc74a48e8d05f__RU__20__MALE__3.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dda014a8bdc74a48e8d05f__RU__20__MALE__4.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dda970e5bfb641a99f0a21__BY__29__nan__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61dda970e5bfb641a99f0a21__BY__29__nan__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddac54d9fcfb51fb138c9b__BY__30__FEMALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddac54d9fcfb51fb138c9b__BY__30__FEMALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddac7dae5e2f24f4cc3d02__BY__47__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddac7dae5e2f24f4cc3d02__BY__47__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddad6e6ec5041ff23233a0__BY__37__nan__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddad6e6ec5041ff23233a0__BY__37__nan__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddb04bc777a56def3d47cc__UA__37__FEMALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddb04bc777a56def3d47cc__UA__37__FEMALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc00f3bb88c106691663c__BY__48__FEMALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc00f3bb88c106691663c__BY__48__FEMALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc1f4a6e50c7752b3f186__BY__34__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc1f4a6e50c7752b3f186__BY__34__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc4086ec5041ff23339ac__UA__21__FEMALE__3.3gp,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc4086ec5041ff23339ac__UA__21__FEMALE__4.3gp,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc78c6292055ac302c143__RU__32__FEMALE__3.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc78c6292055ac302c143__RU__32__FEMALE__4.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc79756929c7bd9889a13__RU__32__FEMALE__3.mov,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc79756929c7bd9889a13__RU__32__FEMALE__4.mov,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc7c26ec5041ff2336148__RU__19__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc7c26ec5041ff2336148__RU__19__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc7cc337db401bfa4f21e__TR__22__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc7cc337db401bfa4f21e__TR__22__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc7d5fc8dba77f721bc5e__RU__44__FEMALE__3.3gp,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc7d5fc8dba77f721bc5e__RU__44__FEMALE__4.3gp,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc822d420cb6519cf15ad__RU__37__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc822d420cb6519cf15ad__RU__37__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc82fd420cb6519cf15de__RU__20__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc82fd420cb6519cf15de__RU__20__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc85bfe012e53e5e909a6__RU__24__FEMALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc85bfe012e53e5e909a6__RU__24__FEMALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc952c824a4106794df90__RU__39__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc952c824a4106794df90__RU__39__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc955f983995d59980ef7__TR__29__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc955f983995d59980ef7__TR__29__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc960fc8dba77f721ca41__RU__24__FEMALE__3.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc960fc8dba77f721ca41__RU__24__FEMALE__4.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc96e5720ef269ad550b4__RU__36__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc96e5720ef269ad550b4__RU__36__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc9a9318d7656ffc3d1eb__RU__45__MALE__3.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc9a9318d7656ffc3d1eb__RU__45__MALE__4.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc9b1f8d5c514ec637f18__RU__34__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddc9b1f8d5c514ec637f18__RU__34__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddca25bd50ca50e2c5cb4a__RU__37__MALE__3.MP4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddca25bd50ca50e2c5cb4a__RU__37__MALE__4.MP4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddca3e9ccd3f5ef8b2ee97__RU__38__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddca3e9ccd3f5ef8b2ee97__RU__38__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddca55c777a56def3e1bb9__RU__36__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddca55c777a56def3e1bb9__RU__36__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddca56d420cb6519cf2576__RU__22__nan__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddca56d420cb6519cf2576__RU__22__nan__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddca5a4f31af5a0c0765c4__RU__21__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddca5a4f31af5a0c0765c4__RU__21__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddca69028f1874ce27855f__RU__46__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddca69028f1874ce27855f__RU__46__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddca7e81e4921aeee02a31__RU__22__FEMALE__3.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddca7e81e4921aeee02a31__RU__22__FEMALE__4.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddca9737bb0b1702758144__RU__22__FEMALE__3.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddca9737bb0b1702758144__RU__22__FEMALE__4.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddcad14f31af5a0c076959__RU__19__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddcad14f31af5a0c076959__RU__19__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddcb203bb88c106691bfe2__RU__26__FEMALE__3.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddcb203bb88c106691bfe2__RU__26__FEMALE__4.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddcb5ae5bfb641a9a02e35__RU__22__MALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddcb5ae5bfb641a9a02e35__RU__22__MALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddcbb39ccd3f5ef8b2ffd6__TR__21__MALE__3.mov,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddcbb39ccd3f5ef8b2ffd6__TR__21__MALE__4.mov,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddcbd4d420cb6519cf312d__RU__24__MALE__3.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddcbd4d420cb6519cf312d__RU__24__MALE__4.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddccd437bb0b17027592d5__RU__19__FEMALE__3.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddccd437bb0b17027592d5__RU__19__FEMALE__4.MOV,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddcd3d0564ea22e857178e__RU__44__FEMALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddcd3d0564ea22e857178e__RU__44__FEMALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddcd51f3fe413d4fcebc4b__RU__36__FEMALE__3.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddcd51f3fe413d4fcebc4b__RU__36__FEMALE__4.mp4,0,0,0,0,0
/Volumes/T7/TrainingDataPro/mobile_selfie/0001d815c0--61ddcd6a86d51b35fef56e4c__FR__28__nan__3.MOV,0,0,0,0,0
